time; signal
1.119999900000001603e-04;1.779055101199999989e+00
1.121999900000007072e-04;1.775909186999999889e+00
1.123999899999995195e-04;1.772763272799999790e+00
1.125999900000000664e-04;1.769267949199999856e+00
1.127999899999988787e-04;1.765772625600000145e+00
1.129999900000011603e-04;1.762626711600000284e+00
1.131999899999999726e-04;1.759480797600000201e+00
1.133999899999987848e-04;1.755985474000000046e+00
1.135999899999993318e-04;1.752490150399999891e+00
1.137999899999998787e-04;1.748994826800000180e+00
1.139999900000004257e-04;1.745499503200000024e+00
1.141999899999992379e-04;1.742004179600000313e+00
1.143999899999997849e-04;1.738508856000000158e+00
1.145999900000003319e-04;1.735013532400000003e+00
1.147999899999991441e-04;1.731518208800000069e+00
1.149999899999996911e-04;1.728022885200000136e+00
1.151999899999985033e-04;1.724178152000000130e+00
1.153999900000007850e-04;1.720333418800000125e+00
1.155999899999995972e-04;1.716838095200000192e+00
1.157999900000001442e-04;1.713342771600000258e+00
1.159999900000006912e-04;1.709847448000000103e+00
